Compound ID,Formula,Molecular Weight,Smile,IC50,unit,note,src table
Z1529202548,C18H12FN3O,305.30,CC=1C=CC=2C=C(C=CC2N1)C(=O)C(C#N)C=3C=CC(F)=CN3,,,,6
Z1561653149,C20H18N4O3S,394.44,COC=1C=CC=C(NC(=O)C(C#N)C2=NC=3SC=4CCCCC4C3C(=O)N2)C1,,,,6
Z1567760258,C16H13N5O2S,339.37,CN1C=CN=C1C(=O)C(C#N)C2=NC=3SC=C(C4CC4)C3C(=O)N2,,,,6
Z1572654250,C24H24N4O2S,432.53,O=C(C(C#N)C1=NC=2SC=3CCCCC3C2C(=O)N1)C=4C=CC(=CC4)N5CCCCC5,,,,6
Z1589142949,C17H14N2O3,294.30,O=C(C(C#N)C=1C=CC=CN1)C=2C=CC=C(C2)C3OCCO3,,,,6
Z1614742571,C20H22N2O2S,354.46,CC1CC(CCO1)C2=NC=3SC(C)=C(C=4C=CC(C)=CC4)C3C(=O)N2,,,,6
Z1629043007,C25H20N4O2S,440.51,CC=1N=C(C=CC1C(=O)C(C#N)C2=NC=3SC=4CCCCC4C3C(=O)N2)C=5C=CC=CC5,,,,6
Z1636544055,C17H19N5,293.36,CC=1C=CC(CNC=2C=CC(C#N)=CN2)=C(N1)N3CCCC3,,,,6
Z1637778347,C21H24N4O,348.44,CC(C)N1CCN(CC1)C=2C=CC(=CC2)C(=O)C(C#N)C=3C=CC=CN3,,,,6
Z1642110730,C18H13ClN4O3S,400.83,ClC1=CC(=CC(=O)N1)C(=O)C(C#N)C2=NC=3SC=4CCCCC4C3C(=O)N2,,,,6
Z1647442344,C16H11FN2O2,282.26,CC(=O)C=1C=CC(=CC1)C(=O)C(C#N)C=2C=CC(F)=CN2,,,,6
Z1650125893,C14H8BrClN2O,335.58,ClC=1C(Br)=CC=CC1C(=O)C(C#N)C=2C=CC=NC2,,,,6
Z1654475949,C24H19N3O3S,429.49,CC1CCC2=C(C1)SC=3N=C(NC(=O)C23)C(C#N)C(=O)C4=CC=C(O4)C=5C=CC=CC5,,,,6
Z1669509497,C22H17N5O3S,431.46,CC1=NN=C(O1)C=2C=CC(=CC2)C(=O)C(C#N)C3=NC=4SC=5CCCCC5C4C(=O)N3,,,,6
Z1678785591,C19H20N4O,320.38,CC1CCN(CC1)C=2C=CC(=CN2)C(=O)C(C#N)C=3C=CC=CN3,,,,6
Z1681579218,C15H9ClN4O2S,344.77,CC1=NSC=C1C(=O)C(C#N)C2=NC=3C=C(Cl)C=CC3C(=O)N2,,,,6
Z1688710130,C22H18ClN3O3S,439.91,ClC=1C=C2CCOC2=C(CC(=O)C(C#N)C3=NC=4SC=5CCCCC5C4C(=O)N3)C1,,,,6
Z1696851671,C15H11BrN2O,315.16,CC=1C=C(Br)C=C(C1)C(=O)C(C#N)C=2C=CC=CN2,,,,6
Z1718108638,C23H19N5O3S,445.49,COC1=C(C=NN1C=2C=CC=CC2)C(=O)C(C#N)C3=NC=4SC=5CCCCC5C4C(=O)N3,,,,6
Z1718108646,C23H19N5O2S,429.49,CC1=CN(N=C1C(=O)C(C#N)C2=NC=3SC=4CCCCC4C3C(=O)N2)C=5C=CC=CC5,,,,6
Z1728209136,C16H11ClN4O3,342.73,CCC1=NC(=CO1)C(=O)C(C#N)C2=NC=3C=C(Cl)C=CC3C(=O)N2,,,,6
Z1741351383,C22H20N4O3S,420.48,CC(=O)C=1C=C(C(=O)C(C#N)C2=NC=3SC=4CCCCC4C3C(=O)N2)C(C)=NC1C,,,,6
